;Time;BuienRadar;OpenWeatherMap;AccuWeather;WeatherAPI;WeatherBitIO;Meteomatics;Aeris;Foreca
7704;1655027400;0;0;0;1;0;0;0;0
7705;1655027700;0;0;0;1;0;0;0;0
7706;1655028000;0;0;0;0;0;0;0;0
7707;1655028300;0;0;0;0;0;0;0;0
7708;1655028600;0;0;0;0;0;0;0;0
7709;1655028900;0;0;0;0;0;0;0;0
7710;1655029200;0;0;0;0;0;0;0;0
7711;1655029500;0;0;0;0;0;0;0;0
7712;1655029800;0;0;0;0;0;0;0;0
7713;1655030100;0;0;0;0;0;0;0;0
7714;1655030400;0;0;0;0;0;0;0;0
7715;1655030700;0;0;0;0;0;0;0;0
7716;1655031000;0;0;0;0;0;0;0;0
7717;1655031300;0;0;0;0;0;0;0;0
7718;1655031600;0;0;0;1;0;0;0;0
7719;1655031900;0;0;0;1;0;0;0;0
7720;1655032200;0;0;0;1;0;0;0;0
7721;1655032500;0;0;0;1;0;0;0;0
7722;1655032800;0;0;0;1;0;0;0;0
7723;1655033100;0;0;0;1;0;0;0;0
7724;1655033400;0;0;0;1;0;0;0;0
7725;1655033700;0;0;0;1;0;0;0;0
7726;1655034000;0;0;0;1;0;0;0;0
7727;1655034300;0;0;0;1;0;0;0;0
7728;1655034600;0;0;0;1;0;0;0;0
7729;1655034900;0;0;0;1;0;0;0;0
7730;1655035200;0;0;0;0;0;0;0;0
7731;1655035500;0;0;0;0;0;0;0;0
7732;1655035800;0;0;0;0;0;0;0;0
7733;1655036100;0;0;0;0;0;0;0;0
7734;1655036400;0;0;0;0;0;0;0;0
7735;1655036700;0;0;0;0;0;0;0;0
7736;1655037000;0;0;0;0;0;0;0;0
7737;1655037300;0;0;0;0;0;0;0;0
7738;1655037600;0;0;0;0;0;0;0;0
7739;1655037900;0;0;0;0;0;0;0;0
7740;1655038200;0;0;0;0;0;0;0;0
7741;1655038500;0;0;0;0;0;0;0;0
7742;1655038800;0;0;0;0;0;0;0;0
7743;1655039100;0;0;0;0;0;0;0;0
7744;1655039400;0;0;0;0;0;0;0;0
7745;1655039700;0;0;0;0;0;0;0;0
